3,TRUE,TRUE,TRUE
0110;1100;1001;0011,7135,7135,7135,
1100;1001;0000;0101,7002,7002,7002,
1001;0110;0101;1010,7210,7210,7210,
0000;0101;0011;0110,7242,7242,7242,
0011;0101;1001;1111,7202,7202,7202,
1010;0000;1001;0011,7265,7265,7265,
1111;1010;1100;1001,7034,7034,7034,
1010;0011;1100;0101,7256,7256,7256,
0110;1111;1100;0101,7034,7034,7034,
1100;1010;0110;0000,7015,7015,7015,
1010;0011;1111;0110,7027,7027,7027,

4,TRUE,TRUE,TRUE
1100;1001;0011;0110,5705,5705,5705,
1100;1001;0000;0101,8630,8630,8630,
1010;0101;1001;0110,5705,5705,5705,
0000;0110;0101;0011,8499,8499,8499,
0101;1001;0011;1111,5660,5660,5660,
1111;1010;1100;1001,5854,5854,5854,
1010;0000;1001;0011,8601,8601,8601,
0011;0101;1010;1100,5755,5755,5755,
0110;1111;1100;0101,5700,5700,5700,
1010;0110;1100;0000,8682,8682,8682,
1010;0011;1111;0110,5664,5664,5664,

5,TRUE,TRUE,TRUE
0110;1100;1001;0011,6511,6511,6511,
0101;1100;0000;1001,6389,6389,6389,
0101;1010;0110;1001,6391,6391,6391,
0000;0011;0101;0110,6324,6324,6324,
0101;1001;0011;1111,6432,6432,6432,
1111;1001;1010;1100,6629,6629,6629,
1001;0000;0011;1010,6424,6424,6424,
1010;0011;1100;0101,6528,6528,6528,
1100;1111;0101;0110,6475,6475,6475,
1100;1010;0110;0000,6571,6571,6571,
1010;0110;1111;0011,6464,6464,6464,

6,TRUE,TRUE,TRUE
1001;0011;0110;1100,6069,6069,6069,
1100;1001;0000;0101,6876,6876,6876,
1001;0110;0101;1010,6178,6178,6178,
0000;0110;0101;0011,6833,6833,6833,
1001;0101;0011;1111,6120,6120,6120,
1111;1001;1010;1100,6017,6017,6017,
1010;0000;1001;0011,6703,6703,6703,
0101;1100;0011;1010,6215,6215,6215,
1010;0110;1100;0000,6737,6737,6737,
0101;1111;0110;1100,6149,6149,6149,
0110;1010;1111;0011,6244,6244,6244,

7,TRUE,TRUE,TRUE
1100;1001;0011;0110,6275,6275,6275,
0101;1100;0000;1001,6276,6276,6276,
0110;1001;1010;0101,6358,6358,6358,
0000;0011;0110;0101,6340,6340,6340,
0011;0101;1001;1111,6296,6296,6296,
1111;1010;1100;1001,6376,6376,6376,
0011;0000;1010;1001,6364,6364,6364,
1100;1010;0101;0011,6316,6316,6316,
0110;1111;1100;0101,6276,6276,6276,
1010;0110;1100;0000,6362,6362,6362,
0110;1010;1111;0011,6370,6370,6370,

8,TRUE,TRUE,TRUE
1001;0011;0110;1100,6195,6195,6195,
0101;1001;0000;1100,6345,6345,6345,
0101;1010;0110;1001,6255,6255,6255,
0000;0110;0101;0011,6258,6258,6258,
1001;0101;0011;1111,6184,6184,6184,
0011;0000;1001;1010,6246,6246,6246,
1111;1100;1010;1001,6186,6186,6186,
1100;1010;0101;0011,6197,6197,6197,
0110;1100;1010;0000,6423,6423,6423,
0101;1111;0110;1100,6116,6116,6116,
1010;0011;1111;0110,6337,6337,6337,

9,TRUE,TRUE,TRUE
0011;0110;1100;1001,6294,6294,6294,
0101;1100;0000;1001,6131,6131,6131,
1010;0101;1001;0110,6331,6331,6331,
0000;0011;0110;0101,6354,6354,6354,
0101;1001;0011;1111,6173,6173,6173,
0011;0000;1001;1010,6436,6436,6436,
1111;1100;1001;1010,6270,6270,6270,
1010;0011;1100;0101,6317,6317,6317,
0101;1111;0110;1100,6096,6096,6096,
0110;1010;1100;0000,6317,6317,6317,
1010;0011;1111;0110,6294,6294,6294,

10,TRUE,TRUE,TRUE
0011;0110;1100;1001,6318,6318,6318,
1100;1001;0000;0101,6306,6306,6306,
0110;1001;1010;0101,6160,6160,6160,
0000;0011;0101;0110,6420,6420,6420,
0011;0101;1001;1111,6269,6269,6269,
0011;0000;1001;1010,6195,6195,6195,
1111;1010;1100;1001,6187,6187,6187,
1010;0011;1100;0101,6348,6348,6348,
0110;1100;1010;0000,6282,6282,6282,
1100;1111;0101;0110,6305,6305,6305,
1010;0011;1111;0110,6219,6219,6219,

11,TRUE,TRUE,TRUE
1100;1001;0011;0110,6421,6421,6421,
0101;1001;0000;1100,6198,6198,6198,
1001;0110;0101;1010,6321,6321,6321,
0000;0101;0011;0110,6265,6265,6265,
1001;0101;0011;1111,6182,6182,6182,
0011;0000;1001;1010,6283,6283,6283,
1111;1100;1001;1010,6238,6238,6238,
0011;0101;1010;1100,6219,6219,6219,
1100;1111;0101;0110,6357,6357,6357,
1100;1010;0110;0000,6252,6252,6252,
1010;0110;1111;0011,6168,6168,6168,

3,TRUE,TRUE,FALSE
0000;0101;1001;1100,10953,10997,2704,
0000;1111;1001;0110,3879,3858,0,
1001;0000;1010;0011,10930,11010,2738,
1100;1010;1111;1001,3260,3225,823,
0101;1010;1100;0011,3441,3316,1120,
1010;1100;0000;0110,10812,11054,2749,
1100;1111;0110;0101,3247,3266,838,
0110;1100;0011;1001,3330,3340,1126,
1010;1001;0110;0101,3228,3343,1069,
0101;0011;0000;0110,11122,10756,2778,
0011;1100;1111;0000,3937,3900,0,
0101;0011;1111;1001,3239,3268,816,
0000;1111;0101;1010,3857,3762,0,
0011;1111;1010;0110,3337,3324,875,

4,TRUE,TRUE,FALSE
